Name,New Rank,Old Rank,Company,Link
PUBG MOBILE - Mad Miramar,250,261,Tencent,https://www.appannie.com/apps/ios/app/pubg-mobile/details/
aquapark.io,254,274,Voodoo,https://www.appannie.com/apps/ios/app/aquapark-io/details/
Layout from Instagram,256,267,Instagram,https://www.appannie.com/apps/ios/app/layout-from-instagram/details/
VSCO: Photo & Video Editor,257,285,Visual Supply,https://www.appannie.com/apps/ios/app/vsco-cam-2/details/
craigslist,260,271,craigslist.org,https://www.appannie.com/apps/ios/app/craigslist-2/details/
AirBrush - Best Photo Editor,264,278,Meitu,https://www.appannie.com/apps/ios/app/airbrush-best-selfie-and-photo-editor-for-free/details/
Honey Smart Shopping Assistant,265,276,Honey Science,https://www.appannie.com/apps/ios/app/honey-smart-shopping-assistant/details/
Videoshop - Video Editor,267,290,Jajijujejo Inc.,https://www.appannie.com/apps/ios/app/videoshop-video-editor/details/
Lip Art 3D,271,287,ZPLAY,https://www.appannie.com/apps/ios/app/lip-art-3d/details/
Chipotle,272,291,Chipotle Mexican Grill,https://www.appannie.com/apps/ios/app/chipotle/details/
Bunch Group Video Chat & Games,276,357,500 Labs,https://www.appannie.com/apps/ios/app/gameroom-play-games-w-friends/details/
Tabou Stories: Love Episodes,279,294,Nanobit,https://www.appannie.com/apps/ios/app/taboo-interactive-stories/details/
Braindom: Tricky Brain Puzzles,281,389,MATCHINGHAM GAMES LIMITED,https://www.appannie.com/apps/ios/app/braindom-tricky-brain-puzzles/details/
Messenger Kids,283,296,Facebook,https://www.appannie.com/apps/ios/app/messenger-kids/details/
BURGER KING® App,284,308,BURGER KING,https://www.appannie.com/apps/ios/app/burger-king-app/details/
Plinko Master - Be a winner,285,362,Good Luck Studio,https://www.appannie.com/apps/ios/app/plinko-master-be-a-winner/details/
Groovepad - Music & Beat Maker,287,306,Easybrain,https://www.appannie.com/apps/ios/app/groovepad-music-maker/details/
Depop - Streetwear & Vintage,288,316,Depop,https://www.appannie.com/apps/ios/app/depop/details/
Bowmasters - Multiplayer Game,289,344,Playgendary,https://www.appannie.com/apps/ios/app/bowmasters/details/
Block! Hexa Puzzle™,290,318,BitMango,https://www.appannie.com/apps/ios/app/block-hexa-puzzle/details/
PlayStation Messages,291,307,Sony,https://www.appannie.com/apps/ios/app/playstationrmessages/details/
Johnny Trigger,293,309,SayGames,https://www.appannie.com/apps/ios/app/johnny-trigger/details/
Wattpad - Read & Write Stories,297,371,Wattpad,https://www.appannie.com/apps/ios/app/wattpad-free-books-ebook-reader/details/
Cooking Games 3D,299,325,Gamejam,https://www.appannie.com/apps/ios/app/cooking-games-3d/details/
StockX - Buy & Sell Authentic,300,319,StockX,https://www.appannie.com/apps/ios/app/campless/details/
Hooked TV,302,320,Telepathic,https://www.appannie.com/apps/ios/app/hooked-tv/details/
Popeyes®,303,499,Popeyes Louisiana Kitchen,https://www.appannie.com/apps/ios/app/popeyesr/details/
8 Ball Pool™,311,338,Miniclip,https://www.appannie.com/apps/ios/app/8-ball-pooltm/details/
The Sims™ Mobile,313,328,Electronic Arts,https://www.appannie.com/apps/ios/app/the-simstm-mobile/details/
Fitbit: Health & Fitness,314,329,Fitbit,https://www.appannie.com/apps/ios/app/fitbit/details/
DoorDash - Driver,317,327,DoorDash,https://www.appannie.com/apps/ios/app/doordash-dasher/details/
Dip Puzzle,318,367,Rollic,https://www.appannie.com/apps/ios/app/dip-puzzle/details/
Bubble Pop! Puzzle Game Legend,323,418,BitMango,https://www.appannie.com/apps/ios/app/bubble-pop-shoot-bubbles/details/
Flipper Dunk,324,484,Rollic,https://www.appannie.com/apps/ios/app/flipper-dunk/details/
SONIC Drive-In,326,354,Sonic Drive-In,https://www.appannie.com/apps/ios/app/sonic-drive-in/details/
Woodturning 3D,328,394,Voodoo,https://www.appannie.com/apps/ios/app/woodturning-3d/details/
Pizza Hut,329,398,Pizza Hut,https://www.appannie.com/apps/ios/app/pizza-hut/details/
Clash of Clans,331,348,Supercell,https://www.appannie.com/apps/ios/app/clash-of-clans/details/
GOAT – Sneakers & Apparel,332,342,GOAT,https://www.appannie.com/apps/ios/app/goat-sneaker-marketplace/details/
Forever 21,338,349,Forever 21,https://www.appannie.com/apps/ios/app/forever-21/details/
Fun Race 3D,343,364,Good Job Games,https://www.appannie.com/apps/ios/app/slippy-road/details/
Skip school -escape game,349,388,Works Inc,https://www.appannie.com/apps/ios/app/skip-schoo-escape-game/details/
