Name,New Rank,Old Rank,Company,Link
e-Sword LT: Bible Study to Go,191,230,Rick Meyers,https://www.appannie.com/apps/ios/app/e-sword-lt-bible-study-on-the-go/details/
Ticket to Ride - Train Game,193,212,Asmodee,https://www.appannie.com/apps/ios/app/ticket-to-ride/details/
TV Mirror+ for Chromecast,194,204,2kit Consulting,https://www.appannie.com/apps/ios/app/screen-mirroring-chromecast/details/
ProCamera.,197,233,Cocologics,https://www.appannie.com/apps/ios/app/procamera-8-hdr/details/
RFS - Real Flight Simulator,198,215,RORTOS,https://www.appannie.com/apps/ios/app/rfs-real-flight-simulator/details/
Sally's Spa,202,232,Games Cafe,https://www.appannie.com/apps/ios/app/sallys-spa/details/
Papa's Hot Doggeria To Go!,206,280,Flipline,https://www.appannie.com/apps/ios/app/papas-hot-doggeria-to-go/details/
Ultimate Lion Simulator 2,209,228,Gluten Free Games,https://www.appannie.com/apps/ios/app/ultimate-lion-simulator-2/details/
Rush Rally 3,214,281,Brownmonster,https://www.appannie.com/apps/ios/app/rush-rally-3/details/
Backflip Madness,215,267,Gamesoul Studio,https://www.appannie.com/apps/ios/app/backflip-madness/details/
NeuralCam NightMode,219,255,Halcyon Products,https://www.appannie.com/apps/ios/app/neuralcam-night-photo/details/
WolframAlpha,220,287,Wolfram Alpha,https://www.appannie.com/apps/ios/app/wolframalpha/details/
Octodad: Dadliest Catch,221,238,Young Horses,https://www.appannie.com/apps/ios/app/octodad-dadliest-catch/details/
Screen Mirroring+ App,222,278,2kit Consulting,https://www.appannie.com/apps/ios/app/screen-mirroring-app/details/
Dead Cells,227,413,Playdigious,https://www.appannie.com/apps/ios/app/dead-cells/details/
Stop Motion Studio Pro,230,347,CATEATER,https://www.appannie.com/apps/ios/app/stop-motion-studio-pro/details/
Alto's Odyssey,232,299,Snowman,https://www.appannie.com/apps/ios/app/altos-odyssey/details/
iReal Pro,233,312,Technimo,https://www.appannie.com/apps/ios/app/ireal-pro-music-book-play/details/
PeakFinder AR,234,304,PeakFinder,https://www.appannie.com/apps/ios/app/peakfinder-earth/details/
LEGO Batman: DC Super Heroes,235,276,Warner Bros,https://www.appannie.com/apps/ios/app/lego-batman-dc-super-heroes/details/
PicTapGo - Photo Editor,237,345,Totally Rad,https://www.appannie.com/apps/ios/app/pictapgo/details/
Civilization Revolution 2,239,277,2K Games,https://www.appannie.com/apps/ios/app/civilization-revolution-2/details/
Bridge Constructor Portal,240,279,HeadUpGames,https://www.appannie.com/apps/ios/app/1311353234/details/
Shadow Fight 2 Special Edition,241,301,Nekki,https://www.appannie.com/apps/ios/app/shadow-fight-2-special-edition/details/
Tubesnake,252,322,Viktor Hesselbom,https://www.appannie.com/apps/ios/app/tubesnake/details/
LEGO® Marvel Super Heroes,253,321,Warner Bros,https://www.appannie.com/apps/ios/app/lego-marvel-super-heroes-universe-in-peril/details/
Halide Camera,254,283,Chroma Noir,https://www.appannie.com/apps/ios/app/halide/details/
Reigns,255,315,Devolver Digital,https://www.appannie.com/apps/ios/app/1114127463/details/
Cora — Organization tool,258,423,"Refinery Apps, LLC",https://www.appannie.com/apps/ios/app/cora-color/details/
Toca Life: Vacation,259,274,Toca Boca,https://www.appannie.com/apps/ios/app/1114886979/details/
NOAA Weather Radio,260,358,Christopher Coudriet,https://www.appannie.com/apps/ios/app/noaa-weather-radio/details/
Youtubers Life: Gaming Channel,262,364,UPlay online,https://www.appannie.com/apps/ios/app/youtubers-life/details/
Kingdom Rush Frontiers,264,327,Ironhide,https://www.appannie.com/apps/ios/app/kingdom-rush-frontiers/details/
Tody,267,341,LoopLoop,https://www.appannie.com/apps/ios/app/tody/details/
Fit Men Cook - Healthy Recipes,271,291,Andreas Kambanis,https://www.appannie.com/apps/ios/app/fit-men-cook-healthy-recipes/details/
AutoWake. Smart Sleep Alarm,272,350,Tantsissa,https://www.appannie.com/apps/ios/app/autowake-smart-sleep-alarm/details/
The Impossible Game,273,324,FlukeDude,https://www.appannie.com/apps/ios/app/367242040/details/
3D Fish Feeding and Grow,274,420,M Usman Rasheed,https://www.appannie.com/apps/ios/app/explore-fish-feeding-and-grow/details/
Tayasui Color,275,319,Tayasui,https://www.appannie.com/apps/ios/app/tayasui-color-a-relaxing-coloring-book-for-adults/details/
FACEinHOLE®,277,355,LisbonLabs,https://www.appannie.com/apps/ios/app/faceinhole-who-do-you-want/details/
PhotoPills,283,342,PhotoPills,https://www.appannie.com/apps/ios/app/photopills/details/
Survivalcraft 2,286,447,Candy Rufus,https://www.appannie.com/apps/ios/app/survivalcraft-2-2/details/
Visionn,290,378,BeFunky,https://www.appannie.com/apps/ios/app/visionn-real-time-artistic/details/
Cloud Baby Monitor,292,302,Martin Man,https://www.appannie.com/apps/ios/app/cloud-baby-monitor-unlimited/details/
Sporcle,294,317,Sporcle,https://www.appannie.com/apps/ios/app/sporcle/details/
Sync For Apple Health > Fitbit,295,495,Bickster Studios,https://www.appannie.com/apps/ios/app/myfitnesssync-for-fitbit-apple-health-to-fitbit/details/
DirectVR Remote for DirecTV,297,437,RMR Labz,https://www.appannie.com/apps/ios/app/directvr-touch-remote/details/
Journey,298,332,Annapurna,https://www.appannie.com/apps/ios/app/journey-6/details/
NightCap Camera,300,389,interealtime,https://www.appannie.com/apps/ios/app/nightcap-pro/details/
Fitmeter Bike - GPS Cycling,301,357,Volker Schueppel,https://www.appannie.com/apps/ios/app/fitmeter-bike/details/
Smart Closet - Fashion Style,302,470,Rabbit Tech Inc,https://www.appannie.com/apps/ios/app/smart-closet-your-fashion/details/
Attack the Light,304,387,Cartoon Network,https://www.appannie.com/apps/ios/app/attack-light-steven-universe/details/
Ultimate Wolf Simulator 2,307,480,Gluten Free Games,https://www.appannie.com/apps/ios/app/ultimate-wolf-simulator-2/details/
The Mood Meter,309,323,Mood Meter,https://www.appannie.com/apps/ios/app/mood-meter-building-your-emotional/details/
Real Steel,310,428,Reliance Big Entertainment,https://www.appannie.com/apps/ios/app/real-steel/details/
SpongeBob: Sponge on the Run,314,430,Nickelodeon,https://www.appannie.com/apps/ios/app/spongebob-sponge-on-the-run/details/
Farming Simulator 18,320,433,Giants Software,https://www.appannie.com/apps/ios/app/farming-simulator-18/details/
