Name,New Rank,Old Rank,Company,Link
Funky Bay – Farm & Adventure,211,263,Samfinaco,https://www.appannie.com/apps/ios/app/funky-bay-amazing-farm-game/details/
Panda Pop! Bubble Shooter Game,214,241,Jam City,https://www.appannie.com/apps/ios/app/panda-pop-bubble-shooter/details/
Last Day on Earth: Survival,215,251,Kefir,https://www.appannie.com/apps/ios/app/1241932094/details/
Who -- Call&Chat,216,229,Scorp,https://www.appannie.com/apps/ios/app/who-sesli-goruntulu-sohbet/details/
Cooking Craze: Restaurant Game,223,242,Big Fish Games,https://www.appannie.com/apps/ios/app/cooking-craze/details/
UNO!™,225,255,Mattel163,https://www.appannie.com/apps/ios/app/unotm/details/
Candy Crush Jelly Saga,226,254,King,https://www.appannie.com/apps/ios/app/candy-crush-jelly-saga/details/
Mobile Strike,227,313,Epic War,https://www.appannie.com/apps/ios/app/mobile-strike/details/
Poker Face - Live Texas Holdem,229,245,Comunix,https://www.appannie.com/apps/ios/app/pokerface-video-chat-poker/details/
Love Nikki-Dress UP Queen,233,278,Elex Technology,https://www.appannie.com/apps/ios/app/love-nikki-dress-up-queen/details/
88 Fortunes Slots Casino Games,234,298,Williams Interactive,https://www.appannie.com/apps/ios/app/88-fortunes-casino-slots-free/details/
Bingo Bash: Online Bingo Games,236,266,Bash Gaming,https://www.appannie.com/apps/ios/app/bingo-bashtm-fun-bingo-slots-featuring-wheel-of-fortune-bingo-and-more/details/
Legendary: Game of Heroes,237,262,N3TWORK,https://www.appannie.com/apps/ios/app/legendary-heroes-saga/details/
EverMerge - Fantasy Merge Game,238,253,Big Fish Games,https://www.appannie.com/apps/ios/app/evermerge/details/
Family Island — Farm game,241,264,Melesta,https://www.appannie.com/apps/ios/app/family-island-farm-game/details/
Redecor - Home Design Game,242,270,Reworks,https://www.appannie.com/apps/ios/app/redecor-home-design-game/details/
Cash Tornado Slots - Casino,243,268,Madness Limited,https://www.appannie.com/apps/ios/app/slots-cash-link-slot-machines/details/
Radish Fiction & Chat Stories,245,259,Radish,https://www.appannie.com/apps/ios/app/radish-fiction/details/
Clover Dating App,247,257,Clover Inc.,https://www.appannie.com/apps/ios/app/clover-dating-app/details/
PokerBROS,248,296,Beyond Games,https://www.appannie.com/apps/ios/app/pokerbros/details/
FarmVille 2: Country Escape,253,277,Zynga,https://www.appannie.com/apps/ios/app/farmville-2-country-escape/details/
Bingo Story Live Bingo Games,254,276,Clipwire,https://www.appannie.com/apps/ios/app/bingo-story/details/
Rise of Empires: Fire and War,255,308,Long Tech Network,https://www.appannie.com/apps/ios/app/rise-of-empire-2/details/
The Wizard of Oz Magic Match 3,261,318,Zynga,https://www.appannie.com/apps/ios/app/the-wizard-of-oz-magic-match/details/
Bingo Journey！Bingo Party Game,267,288,Elestorm Game,https://www.appannie.com/apps/ios/app/bingoscapes-bingo-christmas/details/
Bleach: Immortal Soul,268,286,Oasis Games,https://www.appannie.com/apps/ios/app/bleach-immortal-soul/details/
World War Rising,269,325,MZ,https://www.appannie.com/apps/ios/app/world-war-rising/details/
Random Dice : PvP Defense,271,283,111%,https://www.appannie.com/apps/ios/app/royal-dice-2/details/
