Rank,Name,Company,Link
Exploding Kittens® - Official,55,Exploding Kittens,https://www.appannie.com/apps/google-play/app/com.explodingkittens.projectbombsquad/details/
Call of Duty:Black Ops Zombies,56,Activision Publishing,https://www.appannie.com/apps/google-play/app/com.activision.boz/details/
Castlevania: Symphony of the Night,57,KONAMI,https://www.appannie.com/apps/google-play/app/jp.konami.epjCastlevania2/details/
Grand Theft Auto III,58,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstar.gta3/details/
Bendy and the Ink Machine,59,Joey Drew,https://www.appannie.com/apps/google-play/app/com.jds.batim/details/
Five Nights at Freddy's 3,60,Clickteam USA LLC,https://www.appannie.com/apps/google-play/app/com.scottgames.fnaf3/details/
Farming Simulator 18,61,Giants Software,https://www.appannie.com/apps/google-play/app/com.giantssoftware.fs18.google/details/
CE5 Contact,62,Sirius Technology,https://www.appannie.com/apps/google-play/app/com.star.ce5contact/details/
Papa's Sushiria To Go!,63,Flipline,https://www.appannie.com/apps/google-play/app/air.com.flipline.papassushiriatogo/details/
Necrophonic,64,ChillSeekers,https://www.appannie.com/apps/google-play/app/com.chillseekers.Necrophonic/details/
Tasker,65,joaomgcd,https://www.appannie.com/apps/google-play/app/net.dinglisch.android.taskerm/details/
J23 - Jordan Release Dates & Restocks,66,Matt Berg,https://www.appannie.com/apps/google-play/app/com.matthewlberg.j23/details/
Pirates Outlaws,67,Fabled,https://www.appannie.com/apps/google-play/app/com.piratesoutlaws.fabledgame/details/
60 Seconds! Atomic Adventure,68,Robot Gentleman,https://www.appannie.com/apps/google-play/app/com.robotgentleman.game60seconds/details/
LEGO® Jurassic World™,69,Warner Bros,https://www.appannie.com/apps/google-play/app/com.wb.goog.legojurassicworld/details/
Bully: Anniversary Edition,70,Rockstar Games,https://www.appannie.com/apps/google-play/app/com.rockstargames.bully/details/
Space Marshals,71,Pixelbite,https://www.appannie.com/apps/google-play/app/com.pixelbite.sg/details/
Worms 3,72,Team17,https://www.appannie.com/apps/google-play/app/com.worms3.app/details/
Apocalypse Inc.,73,Nikolay Partas,https://www.appannie.com/apps/google-play/app/com.playesta.apocalypse/details/
MyRadar Weather Radar Ad Free,74,ACME AtronOmatic,https://www.appannie.com/apps/google-play/app/com.acmeaom.android.myradarpro/details/
Couch to 5K®,75,ActiveNetwork,https://www.appannie.com/apps/google-play/app/com.active.aps.c25k/details/
Star Traders: Frontiers,76,Trese Brothers,https://www.appannie.com/apps/google-play/app/com.tresebrothers.games.startraders2/details/
Pocket God™,77,BoltCreative,https://www.appannie.com/apps/google-play/app/com.ngmoco.pocketgod/details/
Angry Neighbor,78,Invictus Studio,https://www.appannie.com/apps/google-play/app/com.AngryNeighbor/details/
Papa's Freezeria To Go!,79,Flipline,https://www.appannie.com/apps/google-play/app/air.com.flipline.papasfreezeriatogo/details/
Star Wars™: KOTOR,80,Aspyr,https://www.appannie.com/apps/google-play/app/com.aspyr.swkotor/details/
