Rank,Name,Company,Link
65,Cash Frenzy™ - Slots Casino,Bole Games,https://www.appannie.com/apps/ios/app/cash-frenzy-slots-casino/details/
66,Guns of Glory: Empires Conquer,FunPlus,https://www.appannie.com/apps/ios/app/guns-of-glory/details/
67,Apple Developer,Apple,https://www.appannie.com/apps/ios/app/wwdc/details/
68,Wordscapes,PeopleFun,https://www.appannie.com/apps/ios/app/wordscapes/details/
69,CSR Racing 2 - #1 Racing Games,NaturalMotion,https://www.appannie.com/apps/ios/app/887947640/details/
70,Crunchyroll,Ellation,https://www.appannie.com/apps/ios/app/crunchyroll-watch-anime-drama/details/
71,POP! Slots ™ Live Vegas Casino,PlayStudios,https://www.appannie.com/apps/ios/app/pop-slots-casino/details/
72,Heart of Vegas Slots-Casino,Product Madness,https://www.appannie.com/apps/ios/app/heart-vegas-play-free-casino/details/
73,DRAGON BALL LEGENDS,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/ios/app/dragon-ball-legends/details/
74,Lily’s Garden: Design & Relax,Tactile Games,https://www.appannie.com/apps/ios/app/lilys-garden/details/
75,Facebook,Facebook,https://www.appannie.com/apps/ios/app/facebook/details/
76,West Game,Leyi Network,https://www.appannie.com/apps/ios/app/west-game/details/
77,Summoners War,Com2uS,https://www.appannie.com/apps/ios/app/summoners-war/details/
78,Choices: Stories You Play,Pixelberry,https://www.appannie.com/apps/ios/app/choices-stories-you-play/details/
79,Huuuge Casino Slots Vegas 777,Huuuge Games,https://www.appannie.com/apps/ios/app/huuuge-casino-slots/details/
80,DoubleU Casino: Vegas Slots,DoubleU,https://www.appannie.com/apps/ios/app/doubleucasino/details/
81,Yahtzee® with Buddies Dice,Scopely,https://www.appannie.com/apps/ios/app/new-yahtzee-with-buddies/details/
82,DRAGON BALL Z DOKKAN BATTLE,BANDAI NAMCO Entertainment,https://www.appannie.com/apps/ios/app/951627425/details/
83,Big Fish Casino: Slots & Games,Big Fish Games,https://www.appannie.com/apps/ios/app/big-fish-casino-free-slots-vegas-slots-slot-tournaments-plus-poker-cards-21-and-more/details/
84,Game of Sultans,Mechanist,https://www.appannie.com/apps/ios/app/game-of-sultans/details/
85,House of Fun™ - Casino Slots,Pacific-Interactive,https://www.appannie.com/apps/ios/app/slots-house-of-fun-play-las-vegas-casino-games-slot-machines-spin-win-download-for-free/details/
